,Date,Ship to,seq01,seq02,seq03,seq04,seq05,seq06,seq07
0,2019-01-25,30000162,1.8000255,1.7950108,1.7579657,1.7514325000000002,1.7870297,1.8044398999999998,1.8151049
0,2019-01-24,30000162,1.7950108,1.7579657,1.7514325000000002,1.7870297,1.8044398999999998,1.8151049,1.8042633000000001
0,2019-01-23,30000162,1.7579657,1.7514325000000002,1.7870297,1.8044398999999998,1.8151049,1.8042633000000001,1.7964586999999999
0,2019-01-22,30000162,1.7514325000000002,1.7870297,1.8044398999999998,1.8151049,1.8042633000000001,1.7964586999999999,1.7693017
0,2019-01-21,30000162,1.7870297,1.8044398999999998,1.8151049,1.8042633000000001,1.7964586999999999,1.7693017,1.7614618999999998
0,2019-01-20,30000162,1.8044398999999998,1.8151049,1.8042633000000001,1.7964586999999999,1.7693017,1.7614618999999998,1.7901373999999999
0,2019-01-19,30000162,1.8151049,1.8042633000000001,1.7964586999999999,1.7693017,1.7614618999999998,1.7901373999999999,1.7718444
0,2019-01-18,30000162,1.8042633000000001,1.7964586999999999,1.7693017,1.7614618999999998,1.7901373999999999,1.7718444,1.7609675
0,2019-01-17,30000162,1.7964586999999999,1.7693017,1.7614618999999998,1.7901373999999999,1.7718444,1.7609675,1.759237
0,2019-01-16,30000162,1.7693017,1.7614618999999998,1.7901373999999999,1.7718444,1.7609675,1.759237,1.7706790000000001
0,2019-01-15,30000162,1.7614618999999998,1.7901373999999999,1.7718444,1.7609675,1.759237,1.7706790000000001,1.7487486
0,2019-01-14,30000162,1.7901373999999999,1.7718444,1.7609675,1.759237,1.7706790000000001,1.7487486,1.7118447
0,2019-01-13,30000162,1.7718444,1.7609675,1.759237,1.7706790000000001,1.7487486,1.7118447,1.7114208999999998
0,2019-01-12,30000162,1.7609675,1.759237,1.7706790000000001,1.7487486,1.7118447,1.7114208999999998,1.7235339
0,2019-01-11,30000162,1.759237,1.7706790000000001,1.7487486,1.7118447,1.7114208999999998,1.7235339,1.7274185000000002
